<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20010102,230100,64.30,64.30,64.30,64.30,4
AUDJPY,20010102,230200,64.30,64.30,64.30,64.30,4
AUDJPY,20010102,230300,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230400,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230500,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230600,64.29,64.29,64.29,64.29,4
AUDJPY,20010102,230700,64.29,64.29,64.27,64.27,4
AUDJPY,20010102,230800,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,230900,64.29,64.30,64.29,64.30,4
AUDJPY,20010102,231000,64.30,64.30,64.30,64.30,4
AUDJPY,20010102,231100,64.30,64.30,64.30,64.30,4
AUDJPY,20010102,231200,64.31,64.31,64.31,64.31,4
AUDJPY,20010102,231300,64.31,64.31,64.30,64.30,4
AUDJPY,20010102,231400,64.30,64.30,64.28,64.28,4
AUDJPY,20010102,231500,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231600,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231700,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,231800,64.27,64.27,64.27,64.27,4
AUDJPY,20010102,231900,64.27,64.27,64.27,64.27,4
AUDJPY,20010102,232000,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,232100,64.28,64.28,64.27,64.27,4
AUDJPY,20010102,232200,64.28,64.28,64.27,64.27,4
AUDJPY,20010102,232300,64.28,64.28,64.27,64.27,4
AUDJPY,20010102,232400,64.27,64.28,64.27,64.28,4
AUDJPY,20010102,232500,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,232600,64.28,64.29,64.28,64.29,4
AUDJPY,20010102,232700,64.29,64.29,64.28,64.28,4
AUDJPY,20010102,232800,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,232900,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,233000,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,233100,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,233200,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,233300,64.28,64.28,64.28,64.28,4
AUDJPY,20010102,233400,64.25,64.26,64.25,64.26,4
AUDJPY,20010102,233500,64.26,64.26,64.26,64.26,4
AUDJPY,20010102,233600,64.26,64.26,64.26,64.26,4
